transaction_id,user_id,amount,currency,description,mcc,category,subcategory,merchant_name,transaction_date,location,country,is_weekend,is_outlier,device_id,ip_address,channel
TXN_USER_001_0000,USER_001,13975731.02,VND,American Airlines - Airline,3001,Travel,Airline,American Airlines,2025-05-30T21:02:25.678117,Singapore,VN,False,True,device_USER_001,192.168.1.231,web
TXN_USER_001_0001,USER_001,4183731.92,VND,Bamboo Airways - Airline,3005,Travel,Airline,Bamboo Airways,2025-06-11T21:02:25.678117,Hanoi,VN,False,False,device_USER_001,192.168.1.47,mobile_app
TXN_USER_001_0002,USER_001,578912.97,VND,Cafe - Cafe,5815,F&B,Cafe,Cafe,2025-05-25T21:02:25.678117,Ho Chi Minh City,VN,True,False,device_USER_001,192.168.1.156,web
TXN_USER_001_0003,USER_001,22522741.24,VND,Bamboo Airways - Airline,3005,Travel,Airline,Bamboo Airways,2025-08-12T21:02:25.678117,Bangkok,VN,False,True,device_USER_001,192.168.1.177,web
TXN_USER_001_0004,USER_001,3727045.42,VND,Bamboo Airways - Airline,3005,Travel,Airline,Bamboo Airways,2025-07-30T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.210,atm
TXN_USER_001_0005,USER_001,352161.95,VND,Parking Lot - Parking,7523,Transportation,Parking,Parking Lot,2025-05-23T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.203,mobile_app
TXN_USER_001_0006,USER_001,96426.33,VND,Grocery Store - Grocery,5411,F&B,Grocery,Grocery Store,2025-03-19T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.136,pos
TXN_USER_001_0007,USER_001,2580349.19,VND,American Airlines - Airline,3001,Travel,Airline,American Airlines,2025-02-21T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.15,mobile_app
TXN_USER_001_0008,USER_001,3607598.64,VND,United Airlines - Airline,3000,Travel,Airline,United Airlines,2025-04-02T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.158,pos
TXN_USER_001_0009,USER_001,23161803.32,VND,Marriott Resort - Resort,3502,Accommodation,Resort,Marriott Resort,2025-06-01T21:02:25.678117,Bangkok,VN,True,True,device_USER_001,192.168.1.51,pos
TXN_USER_001_0010,USER_001,243927.43,VND,Taxi/Rideshare - Taxi,4121,Transportation,Taxi,Taxi/Rideshare,2025-03-12T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.251,web
TXN_USER_001_0011,USER_001,3639003.87,VND,VietJet Air - Airline,3003,Travel,Airline,VietJet Air,2025-08-03T21:02:25.678117,Bangkok,VN,True,False,device_USER_001,192.168.1.219,mobile_app
TXN_USER_001_0012,USER_001,4236654.71,VND,United Airlines - Airline,3000,Travel,Airline,United Airlines,2025-05-14T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.70,web
TXN_USER_001_0013,USER_001,366579.7,VND,Grocery Store - Grocery,5411,F&B,Grocery,Grocery Store,2025-08-11T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.201,mobile_app
TXN_USER_001_0014,USER_001,800000.0,VND,Airbnb - Homestay,3505,Accommodation,Homestay,Airbnb,2025-05-16T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.206,mobile_app
TXN_USER_001_0015,USER_001,567633.21,VND,Fast Food - Fast Food,5814,F&B,Fast Food,Fast Food,2025-03-27T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.143,mobile_app
TXN_USER_001_0016,USER_001,4673068.65,VND,American Airlines - Airline,3001,Travel,Airline,American Airlines,2025-07-24T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.14,pos
TXN_USER_001_0017,USER_001,6180939.98,VND,Sheraton Hotel - Hotel,3504,Accommodation,Hotel,Sheraton Hotel,2025-05-07T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.178,pos
TXN_USER_001_0018,USER_001,281178.21,VND,Bar/Tavern - Bar,5813,F&B,Bar,Bar/Tavern,2025-05-07T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.114,pos
TXN_USER_001_0019,USER_001,256497.61,VND,Gas Station - Fuel,5541,Transportation,Fuel,Gas Station,2025-03-22T21:02:25.678117,Singapore,VN,True,False,device_USER_001,192.168.1.163,pos
TXN_USER_001_0020,USER_001,162943.84,VND,Parking - Parking,5542,Transportation,Parking,Parking,2025-04-12T21:02:25.678117,Singapore,VN,True,False,device_USER_001,192.168.1.151,web
TXN_USER_001_0021,USER_001,4256927.93,VND,Airbnb - Homestay,3505,Accommodation,Homestay,Airbnb,2025-04-04T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.118,atm
TXN_USER_001_0022,USER_001,246233.63,VND,Parking - Parking,5542,Transportation,Parking,Parking,2025-04-14T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.61,pos
TXN_USER_001_0023,USER_001,341233.76,VND,Fast Food - Fast Food,5814,F&B,Fast Food,Fast Food,2025-02-18T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.107,pos
TXN_USER_001_0024,USER_001,169521.8,VND,Grocery Store - Grocery,5411,F&B,Grocery,Grocery Store,2025-05-15T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.13,pos
TXN_USER_001_0025,USER_001,5814418.24,VND,Marriott Resort - Resort,3502,Accommodation,Resort,Marriott Resort,2025-08-06T21:02:25.678117,Bangkok,VN,False,False,device_USER_001,192.168.1.83,pos
TXN_USER_001_0026,USER_001,100000.0,VND,Video Game Arcade - Gaming,7994,Entertainment,Gaming,Video Game Arcade,2025-02-19T21:02:25.678117,Hanoi,VN,False,False,device_USER_001,192.168.1.216,mobile_app
TXN_USER_001_0027,USER_001,247699.54,VND,Restaurant - Restaurant,5812,F&B,Restaurant,Restaurant,2025-03-21T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.54,pos
TXN_USER_001_0028,USER_001,768888.97,VND,Department Store - Department Store,5311,Shopping,Department Store,Department Store,2025-03-25T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.4,atm
TXN_USER_001_0029,USER_001,485481.41,VND,Cafe - Cafe,5815,F&B,Cafe,Cafe,2025-04-17T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.188,web
TXN_USER_001_0030,USER_001,75043.7,VND,Parking - Parking,5542,Transportation,Parking,Parking,2025-06-04T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.93,pos
TXN_USER_001_0031,USER_001,2019584.5,VND,American Airlines - Airline,3001,Travel,Airline,American Airlines,2025-03-14T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.175,atm
TXN_USER_001_0032,USER_001,1685973.92,VND,Airbnb - Homestay,3505,Accommodation,Homestay,Airbnb,2025-06-05T21:02:25.678117,Da Nang,VN,False,False,device_USER_001,192.168.1.134,mobile_app
TXN_USER_001_0033,USER_001,3128066.36,VND,United Airlines - Airline,3000,Travel,Airline,United Airlines,2025-08-05T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.209,mobile_app
TXN_USER_001_0034,USER_001,165692.16,VND,Taxi/Rideshare - Taxi,4121,Transportation,Taxi,Taxi/Rideshare,2025-07-14T21:02:25.678117,Ho Chi Minh City,VN,False,False,device_USER_001,192.168.1.106,pos
TXN_USER_001_0035,USER_001,1263636.99,VND,Airbnb - Homestay,3505,Accommodation,Homestay,Airbnb,2025-04-13T21:02:25.678117,Hanoi,VN,True,False,device_USER_001,192.168.1.107,atm
TXN_USER_001_0036,USER_001,495317.39,VND,Bar/Tavern - Bar,5813,F&B,Bar,Bar/Tavern,2025-06-02T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.8,web
TXN_USER_001_0037,USER_001,2635492.81,VND,Vietnam Airlines - Airline,3004,Travel,Airline,Vietnam Airlines,2025-07-14T21:02:25.678117,Hanoi,VN,False,False,device_USER_001,192.168.1.77,mobile_app
TXN_USER_001_0038,USER_001,100000.0,VND,Wholesale Club - Retail,5300,Shopping,Retail,Wholesale Club,2025-08-05T21:02:25.678117,Singapore,VN,False,False,device_USER_001,192.168.1.39,web
